NFC=8, FWIDTH=5
sequential-scalar, 80.654, 1.0298077490483342
sequential-auto, 70.40799999999999, 0.1975246820020215
sequential-auto-optimized, 66.537, 0.34612281057451505
sequential-manual, 43.439, 0.5821245571181478
openmp-scalar, 40.541, 0.44216399672519785
openmp-auto, 36.416, 0.11892854997854875
openmp-manual, 24.253999999999998, 0.15376605607220345
mpi-scalar, 42.29600000000001, 0.7281510832238051
mpi-auto, 0.018000000000000002, 0.008717797887081347
mpi-auto-optimized, 36.033, 2.7349663617675444
mpi-manual, 23.648, 0.41551895263633853
openmp-scalar, 27.743000000000002, 0.2555797331558197
openmp-auto, 25.697000000000003, 1.710643446192104
openmp-manual, 16.799000000000003, 0.12941792766073754
mpi-scalar, 29.889, 2.302904470445963
mpi-auto, 0.014000000000000002, 0.004898979485566357
mpi-auto-optimized, 25.514, 2.126881284886394
mpi-manual, 17.417, 1.7751228126526908
openmp-scalar, 22.554000000000002, 2.315898097930909
openmp-auto, 20.125999999999998, 3.129332836244812
openmp-manual, 13.625, 1.8735220842039728
mpi-scalar, 23.349, 1.1183778431281621
mpi-auto, 0.012, 0.004
mpi-auto-optimized, 18.846000000000004, 0.7137534588357525
mpi-manual, 12.724, 0.2781438476759825
openmp-scalar, 18.262999999999998, 2.417407909311128
openmp-auto, 17.136, 2.5033385707890172
openmp-manual, 11.933000000000002, 1.8552738342357984
mpi-scalar, 19.669999999999998, 1.6380293037671825
mpi-auto, 0.012, 0.004
mpi-auto-optimized, 16.044999999999998, 1.5324702280958022
mpi-manual, 10.983, 0.9213365291792136
openmp-scalar, 15.913, 2.2725802516082907
openmp-auto, 15.032999999999998, 1.960306353609048
openmp-manual, 11.060000000000002, 1.577574087008277
mpi-scalar, 17.227, 0.9830467944101136
mpi-auto, 0.013000000000000001, 0.0045825756949558405
mpi-auto-optimized, 14.516, 0.5993696689022557
mpi-manual, 10.041999999999998, 0.49276363502190407
mpi+openmp-scalar, 20.156, 0.5593603489701431
mpi+openmp-auto, 17.144, 0.7286590423510844
mpi+openmp-manual, 12.854, 0.5152513949520175
mpi+openmp-scalar, 17.868000000000002, 0.47120696089934794
mpi+openmp-auto, 15.721, 0.7316208034221006
mpi+openmp-manual, 11.407, 0.5464805577511428
NFC=16, FWIDTH=3
sequential-scalar, 113.348, 0.2750563578614408
sequential-auto, 80.97, 0.22324874019801622
sequential-auto-optimized, 77.40799999999999, 0.29929249907072536
sequential-manual, 47.305, 0.39026273201524125
openmp-scalar, 57.414, 0.19257206443303249
openmp-auto, 36.412, 0.08772684879784541
openmp-manual, 27.142999999999994, 0.18498918887329618
mpi-scalar, 59.491, 1.0554851964854841
mpi-auto, 0.014000000000000002, 0.004898979485566357
mpi-auto-optimized, 40.66199999999999, 0.4645600068882388
mpi-manual, 25.880000000000003, 0.9637115751094829
openmp-scalar, 39.22, 0.28941319942255544
openmp-auto, 24.963, 0.12474373731775153
openmp-manual, 18.54, 0.16389020715100647
mpi-scalar, 41.062000000000005, 0.5540721974616662
mpi-auto, 0.018000000000000002, 0.004
mpi-auto-optimized, 28.619, 1.4484298395158812
mpi-manual, 18.416000000000004, 1.4426239981367277
openmp-scalar, 32.399, 5.454604385287716
openmp-auto, 20.711, 3.070581215340184
openmp-manual, 14.866999999999999, 1.3561714493381734
mpi-scalar, 31.02, 0.7261129388738361
mpi-auto, 0.014000000000000002, 0.004898979485566357
