NFC=8, FWIDTH=5
sequential-scalar, 79.559, 0.5831886487235511
sequential-auto, 70.57000000000001, 0.6387800873540138
sequential-auto-optimized, 66.179, 0.14875819305167662
sequential-manual, 42.92100000000001, 0.2630760346363759
openmp-scalar, 40.709, 0.6521111868385632
openmp-auto, 36.327999999999996, 0.1227028932014245
openmp-manual, 24.221, 0.15539948519863178
mpi-scalar, 1.4300000000000002, 0.1608104474218015
mpi-auto, 0.026000000000000002, 0.009165151389911681
mpi-auto-optimized, 35.833, 0.8259545992365439
mpi-manual, 23.428999999999995, 0.21421717951648986
openmp-scalar, 27.738, 0.11677328461596079
openmp-auto, 25.558, 0.9985870017179274
openmp-manual, 17.02, 0.6737210105080593
mpi-scalar, 1.367, 0.02491987158875417
mpi-auto, 0.015000000000000003, 0.006708203932499369
mpi-auto-optimized, 24.619999999999997, 0.19250974001333085
mpi-manual, 16.551, 0.278619812647988
openmp-scalar, 21.560000000000002, 1.0288051321800447
openmp-auto, 19.246, 0.7963818179742681
openmp-manual, 13.165000000000001, 0.6435409854857733
mpi-scalar, 1.366, 0.020591260281973934
mpi-auto, 0.019, 0.005385164807134504
mpi-auto-optimized, 18.461, 0.3719529540143485
mpi-manual, 13.062999999999999, 0.5528480803982229
openmp-scalar, 17.867, 0.9322129585025091
openmp-auto, 15.743999999999996, 0.6213887671981203
openmp-manual, 11.636, 0.6691517017836838
mpi-scalar, 1.359, 0.02467792535850608
mpi-auto, 0.013000000000000001, 0.0045825756949558405
mpi-auto-optimized, 15.655999999999997, 0.5759548593422922
mpi-manual, 10.554, 0.4434455998203164
openmp-scalar, 15.133000000000001, 0.846121149717935
openmp-auto, 14.660000000000002, 1.0432832788845032
openmp-manual, 10.511, 1.1383009268203204
mpi-scalar, 1.3489999999999998, 0.03112876483254672
mpi-auto, 0.013000000000000001, 0.0045825756949558405
mpi-auto-optimized, 14.851999999999999, 0.6527909313095577
mpi-manual, 9.845999999999998, 0.16859418732566078
mpi+openmp-scalar, 20.14, 0.498317168076718
mpi+openmp-auto, 17.183, 0.47246269694019255
mpi+openmp-manual, 12.407, 0.31871774346590764
mpi+openmp-scalar, 17.779000000000003, 0.5082804344060468
mpi+openmp-auto, 15.213999999999999, 0.4497821694998591
mpi+openmp-manual, 11.091, 0.19536888186197937
NFC=16, FWIDTH=3
sequential-scalar, 113.16599999999998, 0.191478458318424
sequential-auto, 81.038, 0.2338717597316948
sequential-auto-optimized, 77.37899999999999, 0.6290063592683292
sequential-manual, 47.187, 0.22163257883262563
openmp-scalar, 57.943999999999996, 0.9648336644209728
openmp-auto, 36.357, 0.16112417571550083
openmp-manual, 26.970999999999997, 0.19710149669649882
mpi-scalar, 1.3719999999999999, 0.017204650534085184
mpi-auto, 0.020999999999999998, 0.005385164807134504
mpi-auto-optimized, 41.08, 1.2441784437933325
mpi-manual, 25.559, 0.5175799455156663
openmp-scalar, 39.29200000000001, 0.36372517097390966
openmp-auto, 25.332, 0.9531400736512977
openmp-manual, 18.569, 0.09213576938409992
mpi-scalar, 1.3780000000000001, 0.02088061301782104
mpi-auto, 0.015000000000000003, 0.006708203932499369
mpi-auto-optimized, 28.651999999999997, 1.352876934536176
mpi-manual, 18.781, 0.9775116367593795
openmp-scalar, 31.323, 2.7795217214477743
openmp-auto, 20.674000000000003, 3.2562254221721196
openmp-manual, 14.662, 0.5735119876689585
mpi-scalar, 1.355, 0.03324154027718928
mpi-auto, 0.015, 0.005
mpi-auto-optimized, 22.836000000000002, 2.1884250044266995
mpi-manual, 14.748000000000001, 1.6693459797178056
openmp-scalar, 29.190999999999995, 4.659284172488302
openmp-auto, 19.848000000000003, 3.2187693300390445
openmp-manual, 15.985999999999999, 1.5662196525391965
mpi-scalar, 1.3709999999999998, 0.022999999999999927
mpi-auto, 0.012, 0.004
mpi-auto-optimized, 18.06, 0.8432793131578648
mpi-manual, 11.763, 0.6200330636345129
openmp-scalar, 25.828000000000003, 4.0679498521982795
openmp-auto, 16.006999999999998, 2.293817996267358
openmp-manual, 13.145, 1.6479274862687374
mpi-scalar, 1.3530000000000002, 0.026095976701399737
mpi-auto, 0.009999999999999998, 1.734723475976807e-18
mpi-auto-optimized, 16.455, 0.44211423863069643
mpi-manual, 10.879999999999999, 0.3413209633175206
mpi+openmp-scalar, 28.453000000000003, 1.134072748989235
mpi+openmp-auto, 20.288, 0.7545435706438697
mpi+openmp-manual, 13.711000000000002, 0.7584648970123796
mpi+openmp-scalar, 25.921, 0.9996144256662169
mpi+openmp-auto, 17.839, 0.7938318461739869
mpi+openmp-manual, 12.148, 0.4888108018446399
NFC=32, FWIDTH=1
sequential-scalar, 348.492, 1.180853928307808
sequential-auto, 151.19400000000002, 0.7047297354305411
sequential-auto-optimized, 152.693, 4.358401197687056
sequential-manual, 70.64899999999999, 0.3175988035241956
openmp-scalar, 176.714, 0.8084577911060022
openmp-auto, 36.465, 0.22402008838494905
openmp-manual, 38.37, 0.17944358444926398
mpi-scalar, 1.374, 0.010198039027185484
mpi-auto, 0.02, 0.006324555320336758
mpi-auto-optimized, 77.67699999999999, 2.2142088880681525
mpi-manual, 37.798, 0.46438776900344786
openmp-scalar, 120.75900000000001, 2.1032234783778927
openmp-auto, 25.775, 1.8250328764162038
openmp-manual, 27.011000000000003, 0.11040380428228067
mpi-scalar, 1.3610000000000002, 0.017578395831246936
mpi-auto, 0.016, 0.004898979485566357
mpi-auto-optimized, 53.261999999999986, 1.4003413869481975
mpi-manual, 26.331, 0.35229107283608463
openmp-scalar, 89.72, 0.9351363536939432
openmp-auto, 21.089, 2.866047626959469
openmp-manual, 23.616, 3.903872948752303
mpi-scalar, 1.3679999999999999, 0.02856571371417135
mpi-auto, 0.019, 0.005385164807134504
mpi-auto-optimized, 40.958999999999996, 1.7972170152766758
mpi-manual, 20.629, 1.124957332524216
openmp-scalar, 77.357, 4.219488239111465
openmp-auto, 20.248, 2.3998658295829793
openmp-manual, 20.666000000000004, 3.3064518747442855
mpi-scalar, 1.3599999999999999, 0.018439088914585733
mpi-auto, 0.013000000000000001, 0.0045825756949558405
mpi-auto-optimized, 33.562, 1.2707147594956143
mpi-manual, 17.011000000000003, 0.835864223423877
openmp-scalar, 72.976, 10.317133516631447
openmp-auto, 16.695999999999998, 2.3056461133487076
openmp-manual, 17.410000000000004, 2.697231914389269
mpi-scalar, 1.3510000000000002, 0.026627053911388653
mpi-auto, 0.013000000000000001, 0.0045825756949558405
mpi-auto-optimized, 30.296999999999997, 0.6063010803223093
mpi-manual, 15.616, 0.6119182951996119
mpi+openmp-scalar, 89.37499999999999, 2.2695252807580713
mpi+openmp-auto, 37.88, 1.3500074073870858
mpi+openmp-manual, 20.1, 0.6288879073412051
mpi+openmp-scalar, 79.128, 2.6506255865361297
mpi+openmp-auto, 34.707, 2.5012239004135552
mpi+openmp-manual, 17.363, 0.43840734482898375
