NFC=32, FWIDTH=1
openmp-scalar, 61.742, 0.161232751015
openmp-auto, 11.708, 0.066302337817
openmp-manual, 13.162, 0.0807217442824
mpi-scalar, 59.685, 0.612751988981
mpi-auto, 13.621, 0.444149749521
mpi-auto-optimized, 25.171, 0.434222293301
mpi-manual, 12.932, 0.347384513184
openmp-scalar, 62.953, 0.239041837342
openmp-auto, 14.435, 0.188851793743
openmp-manual, 16.948, 0.261296766149
mpi-scalar, 56.543, 0.891762860855
mpi-auto, 12.715, 0.113247516529
mpi-auto-optimized, 23.476, 0.349233446279
mpi-manual, 12.061, 0.176490792961
openmp-scalar, 64.453, 0.343803723075
openmp-auto, 13.936, 0.179343246318
openmp-manual, 17.496, 0.180454980535
mpi-scalar, 56.371, 0.739600567874
mpi-auto, 12.822, 0.184542677991
mpi-auto-optimized, 23.76, 0.419904751104
mpi-manual, 12.155, 0.182825052988
openmp-scalar, 67.025, 0.563227307577
openmp-auto, 14.154, 0.214951157243
openmp-manual, 18.058, 0.196407739155
mpi-scalar, 53.609, 0.193207142725
mpi-auto, 12.296, 0.0788923316933
mpi-auto-optimized, 22.365, 0.076713753656
mpi-manual, 11.698, 0.122049170419
