NFC=8, FWIDTH=5
sequential-scalar, 80.585, 0.385
sequential-auto, 71.088, 0.304263044092
sequential-auto-optimized, 67.07, 0.138636214605
sequential-manual, 43.493, 0.188204675819
openmp-scalar, 41.231, 0.569621804358
openmp-auto, 36.071, 0.285917820361
openmp-manual, 23.958, 0.547828440299
mpi-scalar, 42.475, 0.483368389533
mpi-auto, 42.478, 0.753774502089
mpi-auto-optimized, 35.488, 0.434552643531
mpi-manual, 23.54, 0.279356403184
openmp-scalar, 28.727, 0.834278730401
openmp-auto, 25.246, 0.73911027594
openmp-manual, 16.517, 0.355163342703
mpi-scalar, 29.346, 0.0745922247959
mpi-auto, 29.328, 0.0602992537267
mpi-auto-optimized, 24.592, 0.123109707172
mpi-manual, 16.407, 0.0161554944214
openmp-scalar, 21.618, 0.545853460189
openmp-auto, 19.01, 0.664560004815
openmp-manual, 13.188, 0.633842251668
mpi-scalar, 22.284, 0.469685000825
mpi-auto, 22.075, 0.350920218853
mpi-auto-optimized, 18.533, 0.35462797408
mpi-manual, 12.579, 0.304185798485
openmp-scalar, 18.07, 1.18226054658
openmp-auto, 15.885, 0.688073397248
openmp-manual, 11.48, 0.793422964124
mpi-scalar, 18.481, 0.663135732712
mpi-auto, 18.621, 0.653566370004
mpi-auto-optimized, 15.512, 0.659511940756
mpi-manual, 10.577, 0.272325173276
openmp-scalar, 15.737, 1.35165121241
openmp-auto, 14.018, 1.24398392273
openmp-manual, 9.839, 0.920504752839
mpi-scalar, 17.137, 0.372560062272
mpi-auto, 17.001, 0.249617707705
mpi-auto-optimized, 14.482, 0.282588039379
mpi-manual, 10.052, 0.328444820328
mpi+openmp-scalar, 19.765, 0.628573782463
mpi+openmp-auto, 16.691, 0.652908109921
mpi+openmp-manual, 12.626, 0.453281369571
mpi+openmp-scalar, 18.393, 0.335143252953
mpi+openmp-auto, 15.611, 0.630023015453
mpi+openmp-manual, 11.537, 0.262185049154
NFC=16, FWIDTH=3
sequential-scalar, 117.944, 2.2341047424
sequential-auto, 82.702, 0.265133928421
sequential-auto-optimized, 78.527, 0.221
sequential-manual, 47.825, 0.226858987038
openmp-scalar, 59.519, 0.961035379161
openmp-auto, 36.011, 0.196542616244
openmp-manual, 25.821, 0.179802669613
mpi-scalar, 61.091, 0.653948774752
mpi-auto, 49.719, 0.0920271699011
mpi-auto-optimized, 41.457, 0.418594075448
mpi-manual, 25.709, 0.14665946952
openmp-scalar, 41.063, 0.825748751134
openmp-auto, 24.718, 0.115134703717
openmp-manual, 17.847, 0.219456145961
mpi-scalar, 42.009, 0.0496890329952
mpi-auto, 34.498, 0.0481248376621
mpi-auto-optimized, 28.601, 0.098534258002
mpi-manual, 17.957, 0.0694334213474
openmp-scalar, 30.561, 0.569744679659
openmp-auto, 19.164, 1.21681715964
openmp-manual, 14.867, 1.19937525404
