NFC=16, FWIDTH=3
openmp-scalar, 30.654, 0.310715303775
openmp-auto, 19.326, 0.682571607965
openmp-manual, 14.172, 0.243425553301
mpi-scalar, 32.134, 0.782524121034
mpi-auto, 26.116, 0.671791634363
mpi-auto-optimized, 22.03, 0.506320056881
mpi-manual, 13.696, 0.280542331922
openmp-scalar, 22.122, 0.403455078045
openmp-auto, 14.534, 1.31506045488
openmp-manual, 10.792, 1.0564165845
mpi-scalar, 24.456, 0.598985809515
mpi-auto, 20.51, 0.498236891448
mpi-auto-optimized, 16.766, 0.212941306467
mpi-manual, 10.864, 0.324567404402
mpi+openmp-scalar, 29.172, 1.01649200685
mpi+openmp-auto, 19.974, 0.757828476636
mpi+openmp-manual, 13.582, 0.516271246536
mpi+openmp-scalar, 26.832, 0.594151495833
mpi+openmp-auto, 18.788, 0.761193799239
mpi+openmp-manual, 12.168, 0.344116259424
NFC=32, FWIDTH=1
sequential-scalar, 367.152, 0.89829616497
sequential-auto, 159.754, 0.683245197568
sequential-auto-optimized, 156.37, 1.82657055708
sequential-manual, 73.978, 2.2459599284
openmp-scalar, 185.648, 0.221033934046
openmp-auto, 36.304, 0.482352568149
openmp-manual, 38.136, 0.203430577839
mpi-scalar, 191.69, 3.03879581413
mpi-auto, 65.232, 0.596201308284
mpi-auto-optimized, 81.68, 0.985352728722
mpi-manual, 38.202, 0.148781719307
openmp-scalar, 95.166, 0.582669717765
openmp-auto, 18.672, 0.283929568731
openmp-manual, 20.522, 0.357345770928
mpi-scalar, 97.216, 1.45663447714
mpi-auto, 33.612, 0.506888547908
mpi-auto-optimized, 42.016, 0.779066107593
mpi-manual, 20.252, 0.437556853449
openmp-scalar, 70.04, 2.32160289455
openmp-auto, 13.078, 0.390251201151
openmp-manual, 16.596, 1.25426631941
mpi-scalar, 75.246, 1.26260999521
mpi-auto, 27.086, 0.631651802815
mpi-auto-optimized, 32.684, 0.851224999633
mpi-manual, 15.738, 0.301091348265
mpi+openmp-scalar, 87.116, 0.895691911318
mpi+openmp-auto, 38.572, 0.976553121955
mpi+openmp-manual, 19.414, 0.449070150422
mpi+openmp-scalar, 81.17, 1.13834968265
mpi+openmp-auto, 35.01, 0.54994545184
mpi+openmp-manual, 17.712, 0.520284537537
