NFC=32, FWIDTH=1
openmp-scalar, 13.025, 0.102396288995
openmp-auto, 11.668, 0.0299332590942
openmp-manual, 8.41, 0.0673795221117
mpi-scalar, 13.318, 0.235957623314
mpi-auto, 11.927, 0.150336289697
mpi-auto-optimized, 11.585, 0.286888480075
mpi-manual, 8.317, 0.128611819053
openmp-scalar, 15.845, 0.20115914098
openmp-auto, 14.55, 0.246779253585
openmp-manual, 11.69, 0.241578144707
mpi-scalar, 12.59, 0.0827042925125
mpi-auto, 11.132, 0.0847112743382
mpi-auto-optimized, 10.892, 0.0864638652849
mpi-manual, 7.815, 0.0924391691871
openmp-scalar, 14.883, 0.205185282123
openmp-auto, 13.752, 0.198886902535
openmp-manual, 12.835, 0.290422106597
mpi-scalar, 12.674, 0.175567650779
mpi-auto, 11.169, 0.170202820188
mpi-auto-optimized, 10.975, 0.138220837792
mpi-manual, 8.012, 0.134595690867
openmp-scalar, 15.76, 0.139212068442
openmp-auto, 14.352, 0.238780233688
openmp-manual, 13.691, 0.265685904782
mpi-scalar, 12.094, 0.0549909083395
mpi-auto, 10.719, 0.0422965719651
mpi-auto-optimized, 10.586, 0.054626001135
mpi-manual, 7.771, 0.0157797338381
