NFC=32, FWIDTH=1
openmp-scalar, 12.993, 0.07912648102879348
openmp-auto, 11.741, 0.13845215780189202
openmp-manual, 8.457, 0.20184399916767418
mpi-scalar, 13.479, 0.23859798825639744
mpi-auto, 12.049000000000001, 0.23334309503390033
mpi-auto-optimized, 11.651, 0.4450494354563321
mpi-manual, 8.322, 0.21572204337990125
openmp-scalar, 15.843, 0.2408339677038937
openmp-auto, 14.365, 0.24034350417683456
openmp-manual, 11.648, 0.174057461776277
mpi-scalar, 12.520999999999999, 0.12525573839150034
mpi-auto, 11.115, 0.08628441342444194
mpi-auto-optimized, 10.932, 0.10274239631233072
mpi-manual, 7.903999999999999, 0.08345058418010022
openmp-scalar, 15.023, 0.12369721096289917
openmp-auto, 13.758000000000001, 0.20677524029728506
openmp-manual, 12.855, 0.2909381377544032
mpi-scalar, 12.665999999999999, 0.18221964767828966
mpi-auto, 11.16, 0.13069047402163653
mpi-auto-optimized, 10.898, 0.06462197768561437
mpi-manual, 7.983999999999999, 0.09221713506718804
openmp-scalar, 15.554000000000002, 0.26367404119480553
openmp-auto, 14.092999999999998, 0.25896138708309385
openmp-manual, 13.956, 0.2699333251008478
mpi-scalar, 12.099, 0.04699999999999995
mpi-auto, 10.727, 0.04124318125460276
mpi-auto-optimized, 10.609999999999998, 0.08843076387773656
mpi-manual, 7.776999999999999, 0.04243819034784576
