NFC=8, FWIDTH=5
sequential-scalar, 79.216, 0.197949488507
sequential-auto, 70.1953333333, 0.491594231952
sequential-auto-optimized, 66.19, 0.300665927567
sequential-manual, 43.0886666667, 0.390450452113
openmp-scalar, 40.3073333333, 0.266794969135
openmp-auto, 36.098, 0.198903661773
openmp-manual, 24.006, 0.232659980802
mpi-scalar, 41.7006666667, 0.199514967414
mpi-auto, 38.0266666667, 3.98062418333
mpi-auto-optimized, 34.858, 0.0554015643582
mpi-manual, 23.19, 0.212822304595
openmp-scalar, 28.448, 3.28596043798
openmp-auto, 24.7873333333, 0.103245123641
openmp-manual, 16.6933333333, 0.0997106926173
mpi-scalar, 29.04, 0.346525612329
mpi-auto, 25.96, 0.432958812514
mpi-auto-optimized, 24.874, 0.786085661151
mpi-manual, 16.4873333333, 0.585177655835
openmp-scalar, 20.6353333333, 0.301637015117
openmp-auto, 18.7093333333, 0.426699998698
openmp-manual, 12.6746666667, 0.1417446844
mpi-scalar, 23.1213333333, 1.85699350804
mpi-auto, 20.514, 1.42292093948
mpi-auto-optimized, 18.8986666667, 1.05150600992
mpi-manual, 13.8, 1.04704664016
openmp-scalar, 18.4206666667, 3.13698680619
openmp-auto, 17.2306666667, 3.3586097653
openmp-manual, 11.7893333333, 2.1628822334
mpi-scalar, 19.614, 1.76102167316
mpi-auto, 17.5406666667, 1.48154183951
mpi-auto-optimized, 16.0353333333, 0.909482392475
mpi-manual, 11.646, 1.00544384892
openmp-scalar, 14.9, 1.78652362611
openmp-auto, 13.2913333333, 1.51591058077
openmp-manual, 10.2166666667, 1.22601613185
mpi-scalar, 16.778, 0.470066661939
mpi-auto, 15.3073333333, 0.458686046102
mpi-auto-optimized, 14.2493333333, 0.604002943334
mpi-manual, 10.15, 0.337619114783
mpi+openmp-scalar, 19.5213333333, 0.873253431459
mpi+openmp-auto, 17.0413333333, 0.970249910533
mpi+openmp-manual, 12.2406666667, 0.80904442949
mpi+openmp-scalar, 18.7786666667, 1.11734128875
mpi+openmp-auto, 16.5726666667, 1.04333099041
mpi+openmp-manual, 11.638, 0.820603030297
NFC=16, FWIDTH=3
sequential-scalar, 112.889333333, 0.571669679292
sequential-auto, 80.806, 0.37971568311
sequential-auto-optimized, 76.888, 0.20406534901
sequential-manual, 47.3233333333, 0.282150472069
openmp-scalar, 57.1053333333, 0.281374404585
openmp-auto, 36.078, 0.243918019015
openmp-manual, 26.678, 0.18170305446
mpi-scalar, 59.2346666667, 0.943411304198
mpi-auto, 38.8566666667, 0.0904556367631
mpi-auto-optimized, 40.3366666667, 0.178013732304
mpi-manual, 25.388, 0.265887194126
